# Assembly name:  Bos_taurus_UMD_3.1.1
# Organism name:  Bos taurus (cattle)
# Infraspecific name:  breed=Hereford
# Sex:  pooled male and female
# Taxid:          9913
# BioSample:      SAMN02898106
# BioProject:     PRJNA32899
# Submitter:      Center for Bioinformatics and Computational Biology, University of Maryland
# Date:           2014-11-25
# Assembly type:  haploid
# Release type:   
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    DAAA02
# Assembly method: UMD Overlapper v. 2009; additional processing
# Genome coverage: 9x
# Sequencing technology: Sanger
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000003055.5
# RefSeq assembly accession: GCF_000003055.6
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001245.5	GCF_000001245.5	Primary Assembly
## 	GCF_000001285.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
ChrU_4098836	unplaced-scaffold	na	na	GJ058991.1	=	NW_003099736.1	Primary Assembly	1209	na
ChrU_4100145	unplaced-scaffold	na	na	GJ058992.1	=	NW_003099737.1	Primary Assembly	1505	na
ChrU_4101750	unplaced-scaffold	na	na	GJ058993.1	=	NW_003099738.1	Primary Assembly	1276	na
ChrU_4103126	unplaced-scaffold	na	na	GJ058994.1	=	NW_003099739.1	Primary Assembly	1345	na
ChrU_4104571	unplaced-scaffold	na	na	GJ058995.1	=	NW_003099740.1	Primary Assembly	1120	na
ChrU_4105791	unplaced-scaffold	na	na	GJ058996.1	=	NW_003099741.1	Primary Assembly	1115	na
ChrU_4107006	unplaced-scaffold	na	na	GJ058997.1	=	NW_003099742.1	Primary Assembly	1268	na
ChrU_4108374	unplaced-scaffold	na	na	GJ058998.1	=	NW_003099743.1	Primary Assembly	1113	na
ChrU_4109587	unplaced-scaffold	na	na	GJ058999.1	=	NW_003099744.1	Primary Assembly	1662	na
ChrU_4111349	unplaced-scaffold	na	na	GJ059000.1	=	NW_003099745.1	Primary Assembly	1270	na
ChrU_4112719	unplaced-scaffold	na	na	GJ059001.1	=	NW_003099746.1	Primary Assembly	1070	na
ChrU_4113889	unplaced-scaffold	na	na	GJ059002.1	=	NW_003099747.1	Primary Assembly	1707	na
ChrU_4115696	unplaced-scaffold	na	na	GJ059003.1	=	NW_003099748.1	Primary Assembly	1217	na
ChrU_4117013	unplaced-scaffold	na	na	GJ059004.1	=	NW_003099749.1	Primary Assembly	1379	na
ChrU_4118492	unplaced-scaffold	na	na	GJ059005.1	=	NW_003099750.1	Primary Assembly	1210	na
ChrU_4119802	unplaced-scaffold	na	na	GJ059006.1	=	NW_003099751.1	Primary Assembly	1001	na
ChrU_4120903	unplaced-scaffold	na	na	GJ059007.1	=	NW_003099752.1	Primary Assembly	1448	na
ChrU_4122451	unplaced-scaffold	na	na	GJ059008.1	=	NW_003099753.1	Primary Assembly	1359	na
ChrU_4123910	unplaced-scaffold	na	na	GJ059009.1	=	NW_003099754.1	Primary Assembly	1729	na
ChrU_4125739	unplaced-scaffold	na	na	GJ059010.1	=	NW_003099755.1	Primary Assembly	1363	na
ChrU_4127202	unplaced-scaffold	na	na	GJ059011.1	=	NW_003099756.1	Primary Assembly	937	na
ChrU_4128239	unplaced-scaffold	na	na	GJ059012.1	=	NW_003099757.1	Primary Assembly	1396	na
ChrU_4129735	unplaced-scaffold	na	na	GJ059013.1	=	NW_003099758.1	Primary Assembly	1498	na
ChrU_4131333	unplaced-scaffold	na	na	GJ059014.1	=	NW_003099759.1	Primary Assembly	1091	na
ChrU_4132524	unplaced-scaffold	na	na	GJ059015.1	=	NW_003099760.1	Primary Assembly	1664	na
ChrU_4134288	unplaced-scaffold	na	na	GJ059016.1	=	NW_003099761.1	Primary Assembly	1747	na
ChrU_4136135	unplaced-scaffold	na	na	GJ059017.1	=	NW_003099762.1	Primary Assembly	1297	na
ChrU_4137532	unplaced-scaffold	na	na	GJ059018.1	=	NW_003099763.1	Primary Assembly	1470	na
ChrU_4139102	unplaced-scaffold	na	na	GJ059019.1	=	NW_003099764.1	Primary Assembly	1381	na
ChrU_4140583	unplaced-scaffold	na	na	GJ059020.1	=	NW_003099765.1	Primary Assembly	1051	na
ChrU_4141734	unplaced-scaffold	na	na	GJ059021.1	=	NW_003099766.1	Primary Assembly	1535	na
ChrU_4143369	unplaced-scaffold	na	na	GJ059022.1	=	NW_003099767.1	Primary Assembly	1329	na
ChrU_4144798	unplaced-scaffold	na	na	GJ059023.1	=	NW_003099768.1	Primary Assembly	1478	na
ChrU_4146376	unplaced-scaffold	na	na	GJ059024.1	=	NW_003099769.1	Primary Assembly	1620	na
ChrU_4148096	unplaced-scaffold	na	na	GJ059025.1	=	NW_003099770.1	Primary Assembly	1859	na
ChrU_4150055	unplaced-scaffold	na	na	GJ059026.1	=	NW_003099771.1	Primary Assembly	1165	na
ChrU_4151320	unplaced-scaffold	na	na	GJ059027.1	=	NW_003099772.1	Primary Assembly	1426	na
ChrU_4152846	unplaced-scaffold	na	na	GJ059028.1	=	NW_003099773.1	Primary Assembly	1502	na
ChrU_4154448	unplaced-scaffold	na	na	GJ059029.1	=	NW_003099774.1	Primary Assembly	1928	na
ChrU_4156476	unplaced-scaffold	na	na	GJ059030.1	=	NW_003099775.1	Primary Assembly	1213	na
ChrU_4157789	unplaced-scaffold	na	na	GJ059031.1	=	NW_003099776.1	Primary Assembly	1168	na
ChrU_4159057	unplaced-scaffold	na	na	GJ059032.1	=	NW_003099777.1	Primary Assembly	1128	na
ChrU_4160285	unplaced-scaffold	na	na	GJ059033.1	=	NW_003099778.1	Primary Assembly	1186	na
ChrU_4161571	unplaced-scaffold	na	na	GJ059034.1	=	NW_003099779.1	Primary Assembly	1142	na
ChrU_4162813	unplaced-scaffold	na	na	GJ059035.1	=	NW_003099780.1	Primary Assembly	1168	na
ChrU_4164081	unplaced-scaffold	na	na	GJ059036.1	=	NW_003099781.1	Primary Assembly	1371	na
ChrU_4165552	unplaced-scaffold	na	na	GJ059037.1	=	NW_003099782.1	Primary Assembly	1364	na
ChrU_4167016	unplaced-scaffold	na	na	GJ059038.1	=	NW_003099783.1	Primary Assembly	1386	na
ChrU_4168502	unplaced-scaffold	na	na	GJ059039.1	=	NW_003099784.1	Primary Assembly	1315	na
ChrU_4169917	unplaced-scaffold	na	na	GJ059040.1	=	NW_003099785.1	Primary Assembly	1114	na
ChrU_4171131	unplaced-scaffold	na	na	GJ059041.1	=	NW_003099786.1	Primary Assembly	1121	na
ChrU_4172352	unplaced-scaffold	na	na	GJ059042.1	=	NW_003099787.1	Primary Assembly	1953	na
ChrU_4174405	unplaced-scaffold	na	na	GJ059043.1	=	NW_003099788.1	Primary Assembly	1630	na
ChrU_4176135	unplaced-scaffold	na	na	GJ059044.1	=	NW_003099789.1	Primary Assembly	1518	na
ChrU_4177753	unplaced-scaffold	na	na	GJ059045.1	=	NW_003099790.1	Primary Assembly	1372	na
ChrU_4179225	unplaced-scaffold	na	na	GJ059046.1	=	NW_003099791.1	Primary Assembly	1343	na
ChrU_4180668	unplaced-scaffold	na	na	GJ059047.1	=	NW_003099792.1	Primary Assembly	1531	na
ChrU_4182299	unplaced-scaffold	na	na	GJ059048.1	=	NW_003099793.1	Primary Assembly	1775	na
ChrU_4184174	unplaced-scaffold	na	na	GJ059049.1	=	NW_003099794.1	Primary Assembly	1340	na
ChrU_4185614	unplaced-scaffold	na	na	GJ059050.1	=	NW_003099795.1	Primary Assembly	1277	na
ChrU_4186991	unplaced-scaffold	na	na	GJ059051.1	=	NW_003099796.1	Primary Assembly	1226	na
ChrU_4188317	unplaced-scaffold	na	na	GJ059052.1	=	NW_003099797.1	Primary Assembly	1165	na
ChrU_4189582	unplaced-scaffold	na	na	GJ059053.1	=	NW_003099798.1	Primary Assembly	1210	na
ChrU_4190892	unplaced-scaffold	na	na	GJ059054.1	=	NW_003099799.1	Primary Assembly	1209	na
ChrU_4192201	unplaced-scaffold	na	na	GJ059055.1	=	NW_003099800.1	Primary Assembly	1276	na
ChrU_4193577	unplaced-scaffold	na	na	GJ059056.1	=	NW_003099801.1	Primary Assembly	1416	na
ChrU_4195093	unplaced-scaffold	na	na	GJ059057.1	=	NW_003099802.1	Primary Assembly	1275	na
ChrU_4196468	unplaced-scaffold	na	na	GJ059058.1	=	NW_003099803.1	Primary Assembly	1188	na
ChrU_4197756	unplaced-scaffold	na	na	GJ059059.1	=	NW_003099804.1	Primary Assembly	1249	na
ChrU_4199105	unplaced-scaffold	na	na	GJ059060.1	=	NW_003099805.1	Primary Assembly	1314	na
ChrU_4200519	unplaced-scaffold	na	na	GJ059061.1	=	NW_003099806.1	Primary Assembly	1136	na
ChrU_4201755	unplaced-scaffold	na	na	GJ059062.1	=	NW_003099807.1	Primary Assembly	1243	na
ChrU_4203098	unplaced-scaffold	na	na	GJ059063.1	=	NW_003099808.1	Primary Assembly	1159	na
ChrU_4204357	unplaced-scaffold	na	na	GJ059064.1	=	NW_003099809.1	Primary Assembly	1276	na
ChrU_4205733	unplaced-scaffold	na	na	GJ059065.1	=	NW_003099810.1	Primary Assembly	1370	na
ChrU_4207203	unplaced-scaffold	na	na	GJ059066.1	=	NW_003099811.1	Primary Assembly	1411	na
ChrU_4208714	unplaced-scaffold	na	na	GJ059067.1	=	NW_003099812.1	Primary Assembly	1787	na
ChrU_4210601	unplaced-scaffold	na	na	GJ059068.1	=	NW_003099813.1	Primary Assembly	1200	na
ChrU_4211901	unplaced-scaffold	na	na	GJ059069.1	=	NW_003099814.1	Primary Assembly	1232	na
ChrU_4213233	unplaced-scaffold	na	na	GJ059070.1	=	NW_003099815.1	Primary Assembly	1763	na
ChrU_4215096	unplaced-scaffold	na	na	GJ059071.1	=	NW_003099816.1	Primary Assembly	1878	na
ChrU_4217074	unplaced-scaffold	na	na	GJ059072.1	=	NW_003099817.1	Primary Assembly	1196	na
ChrU_4218370	unplaced-scaffold	na	na	GJ059073.1	=	NW_003099818.1	Primary Assembly	2099	na
ChrU_4220569	unplaced-scaffold	na	na	GJ059074.1	=	NW_003099819.1	Primary Assembly	1499	na
ChrU_4222168	unplaced-scaffold	na	na	GJ059075.1	=	NW_003099820.1	Primary Assembly	1562	na
ChrU_4223830	unplaced-scaffold	na	na	GJ059076.1	=	NW_003099821.1	Primary Assembly	1486	na
ChrU_4225416	unplaced-scaffold	na	na	GJ059077.1	=	NW_003099822.1	Primary Assembly	1254	na
ChrU_4226770	unplaced-scaffold	na	na	GJ059078.1	=	NW_003099823.1	Primary Assembly	1822	na
ChrU_4228692	unplaced-scaffold	na	na	GJ059079.1	=	NW_003099824.1	Primary Assembly	1396	na
ChrU_4230188	unplaced-scaffold	na	na	GJ059080.1	=	NW_003099825.1	Primary Assembly	1001	na
ChrU_4231289	unplaced-scaffold	na	na	GJ059081.1	=	NW_003099826.1	Primary Assembly	2146	na
ChrU_4233535	unplaced-scaffold	na	na	GJ059082.1	=	NW_003099827.1	Primary Assembly	1163	na
ChrU_4234798	unplaced-scaffold	na	na	GJ059083.1	=	NW_003099828.1	Primary Assembly	2488	na
ChrU_4237386	unplaced-scaffold	na	na	GJ059084.1	=	NW_003099829.1	Primary Assembly	2214	na
ChrU_4239700	unplaced-scaffold	na	na	GJ059085.1	=	NW_003099830.1	Primary Assembly	1303	na
ChrU_4241103	unplaced-scaffold	na	na	GJ059086.1	=	NW_003099831.1	Primary Assembly	1606	na
ChrU_4242809	unplaced-scaffold	na	na	GJ059087.1	=	NW_003099832.1	Primary Assembly	1301	na
ChrU_4244210	unplaced-scaffold	na	na	GJ059088.1	=	NW_003099833.1	Primary Assembly	1316	na
ChrU_4245626	unplaced-scaffold	na	na	GJ059089.1	=	NW_003099834.1	Primary Assembly	1142	na
ChrU_4246868	unplaced-scaffold	na	na	GJ059090.1	=	NW_003099835.1	Primary Assembly	1166	na
ChrU_4248134	unplaced-scaffold	na	na	GJ059091.1	=	NW_003099836.1	Primary Assembly	1168	na
ChrU_4249402	unplaced-scaffold	na	na	GJ059092.1	=	NW_003099837.1	Primary Assembly	1278	na
ChrU_4250780	unplaced-scaffold	na	na	GJ059093.1	=	NW_003099838.1	Primary Assembly	1005	na
ChrU_4251885	unplaced-scaffold	na	na	GJ059094.1	=	NW_003099839.1	Primary Assembly	1406	na
ChrU_4253391	unplaced-scaffold	na	na	GJ059095.1	=	NW_003099840.1	Primary Assembly	1694	na
ChrU_4255185	unplaced-scaffold	na	na	GJ059096.1	=	NW_003099841.1	Primary Assembly	1429	na
ChrU_4256714	unplaced-scaffold	na	na	GJ059097.1	=	NW_003099842.1	Primary Assembly	1318	na
ChrU_4258132	unplaced-scaffold	na	na	GJ059098.1	=	NW_003099843.1	Primary Assembly	1836	na
ChrU_4260068	unplaced-scaffold	na	na	GJ059099.1	=	NW_003099844.1	Primary Assembly	1210	na
ChrU_4261378	unplaced-scaffold	na	na	GJ059100.1	=	NW_003099845.1	Primary Assembly	1288	na
ChrU_4262766	unplaced-scaffold	na	na	GJ059101.1	=	NW_003099846.1	Primary Assembly	1604	na
ChrU_4264470	unplaced-scaffold	na	na	GJ059102.1	=	NW_003099847.1	Primary Assembly	1249	na
ChrU_4265819	unplaced-scaffold	na	na	GJ059103.1	=	NW_003099848.1	Primary Assembly	1861	na
ChrU_4267780	unplaced-scaffold	na	na	GJ059104.1	=	NW_003099849.1	Primary Assembly	1140	na
ChrU_4269020	unplaced-scaffold	na	na	GJ059105.1	=	NW_003099850.1	Primary Assembly	1160	na
ChrU_4270280	unplaced-scaffold	na	na	GJ059106.1	=	NW_003099851.1	Primary Assembly	1175	na
ChrU_4271555	unplaced-scaffold	na	na	GJ059107.1	=	NW_003099852.1	Primary Assembly	1761	na
ChrU_4273416	unplaced-scaffold	na	na	GJ059108.1	=	NW_003099853.1	Primary Assembly	1790	na
ChrU_4275306	unplaced-scaffold	na	na	GJ059109.1	=	NW_003099854.1	Primary Assembly	1157	na
ChrU_4276563	unplaced-scaffold	na	na	GJ059110.1	=	NW_003099855.1	Primary Assembly	1309	na
ChrU_4277972	unplaced-scaffold	na	na	GJ059111.1	=	NW_003099856.1	Primary Assembly	1039	na
ChrU_4279111	unplaced-scaffold	na	na	GJ059112.1	=	NW_003099857.1	Primary Assembly	1126	na
ChrU_4280337	unplaced-scaffold	na	na	GJ059113.1	=	NW_003099858.1	Primary Assembly	1406	na
ChrU_4281843	unplaced-scaffold	na	na	GJ059114.1	=	NW_003099859.1	Primary Assembly	1918	na
ChrU_4283861	unplaced-scaffold	na	na	GJ059115.1	=	NW_003099860.1	Primary Assembly	1072	na
ChrU_4285033	unplaced-scaffold	na	na	GJ059116.1	=	NW_003099861.1	Primary Assembly	1157	na
ChrU_4286290	unplaced-scaffold	na	na	GJ059117.1	=	NW_003099862.1	Primary Assembly	1636	na
ChrU_4288026	unplaced-scaffold	na	na	GJ059118.1	=	NW_003099863.1	Primary Assembly	1264	na
ChrU_4289390	unplaced-scaffold	na	na	GJ059119.1	=	NW_003099864.1	Primary Assembly	1006	na
ChrU_4290496	unplaced-scaffold	na	na	GJ059120.1	=	NW_003099865.1	Primary Assembly	1437	na
ChrU_4292033	unplaced-scaffold	na	na	GJ059121.1	=	NW_003099866.1	Primary Assembly	1525	na
ChrU_4293658	unplaced-scaffold	na	na	GJ059122.1	=	NW_003099867.1	Primary Assembly	1529	na
ChrU_4295287	unplaced-scaffold	na	na	GJ059123.1	=	NW_003099868.1	Primary Assembly	1004	na
ChrU_4296391	unplaced-scaffold	na	na	GJ059124.1	=	NW_003099869.1	Primary Assembly	1091	na
ChrU_4297582	unplaced-scaffold	na	na	GJ059125.1	=	NW_003099870.1	Primary Assembly	1327	na
ChrU_4299009	unplaced-scaffold	na	na	GJ059126.1	=	NW_003099871.1	Primary Assembly	1710	na
ChrU_4300819	unplaced-scaffold	na	na	GJ059127.1	=	NW_003099872.1	Primary Assembly	1339	na
ChrU_4302258	unplaced-scaffold	na	na	GJ059128.1	=	NW_003099873.1	Primary Assembly	1108	na
ChrU_4303466	unplaced-scaffold	na	na	GJ059129.1	=	NW_003099874.1	Primary Assembly	1113	na
ChrU_4304679	unplaced-scaffold	na	na	GJ059130.1	=	NW_003099875.1	Primary Assembly	1577	na
ChrU_4306356	unplaced-scaffold	na	na	GJ059131.1	=	NW_003099876.1	Primary Assembly	1189	na
ChrU_4307645	unplaced-scaffold	na	na	GJ059132.1	=	NW_003099877.1	Primary Assembly	1262	na
ChrU_4309007	unplaced-scaffold	na	na	GJ059133.1	=	NW_003099878.1	Primary Assembly	1779	na
ChrU_4310886	unplaced-scaffold	na	na	GJ059134.1	=	NW_003099879.1	Primary Assembly	1346	na
ChrU_4312332	unplaced-scaffold	na	na	GJ059135.1	=	NW_003099880.1	Primary Assembly	1316	na
ChrU_4313748	unplaced-scaffold	na	na	GJ059136.1	=	NW_003099881.1	Primary Assembly	1243	na
ChrU_4315091	unplaced-scaffold	na	na	GJ059137.1	=	NW_003099882.1	Primary Assembly	1208	na
ChrU_4316399	unplaced-scaffold	na	na	GJ059138.1	=	NW_003099883.1	Primary Assembly	1173	na
ChrU_4317672	unplaced-scaffold	na	na	GJ059139.1	=	NW_003099884.1	Primary Assembly	1444	na
ChrU_4319216	unplaced-scaffold	na	na	GJ059140.1	=	NW_003099885.1	Primary Assembly	1742	na
ChrU_4321058	unplaced-scaffold	na	na	GJ059141.1	=	NW_003099886.1	Primary Assembly	1492	na
ChrU_4322650	unplaced-scaffold	na	na	GJ059142.1	=	NW_003099887.1	Primary Assembly	1227	na
ChrU_4323977	unplaced-scaffold	na	na	GJ059143.1	=	NW_003099888.1	Primary Assembly	1441	na
ChrU_4325518	unplaced-scaffold	na	na	GJ059144.1	=	NW_003099889.1	Primary Assembly	1374	na
ChrU_4326992	unplaced-scaffold	na	na	GJ059145.1	=	NW_003099890.1	Primary Assembly	1584	na
ChrU_4328676	unplaced-scaffold	na	na	GJ059146.1	=	NW_003099891.1	Primary Assembly	1369	na
ChrU_4330145	unplaced-scaffold	na	na	GJ059147.1	=	NW_003099892.1	Primary Assembly	1029	na
ChrU_4331274	unplaced-scaffold	na	na	GJ059148.1	=	NW_003099893.1	Primary Assembly	2066	na
ChrU_4333440	unplaced-scaffold	na	na	GJ059149.1	=	NW_003099894.1	Primary Assembly	1276	na
ChrU_4334816	unplaced-scaffold	na	na	GJ059150.1	=	NW_003099895.1	Primary Assembly	1665	na
ChrU_4336581	unplaced-scaffold	na	na	GJ059151.1	=	NW_003099896.1	Primary Assembly	1590	na
ChrU_4338271	unplaced-scaffold	na	na	GJ059152.1	=	NW_003099897.1	Primary Assembly	1194	na
ChrU_4339565	unplaced-scaffold	na	na	GJ059153.1	=	NW_003099898.1	Primary Assembly	1432	na
ChrU_4341097	unplaced-scaffold	na	na	GJ059154.1	=	NW_003099899.1	Primary Assembly	1801	na
ChrU_4342998	unplaced-scaffold	na	na	GJ059155.1	=	NW_003099900.1	Primary Assembly	1032	na
ChrU_4344130	unplaced-scaffold	na	na	GJ059156.1	=	NW_003099901.1	Primary Assembly	1223	na
ChrU_4345453	unplaced-scaffold	na	na	GJ059157.1	=	NW_003099902.1	Primary Assembly	1208	na
ChrU_4346761	unplaced-scaffold	na	na	GJ059158.1	=	NW_003099903.1	Primary Assembly	1361	na
ChrU_4348222	unplaced-scaffold	na	na	GJ059159.1	=	NW_003099904.1	Primary Assembly	1162	na
ChrU_4349484	unplaced-scaffold	na	na	GJ059160.1	=	NW_003099905.1	Primary Assembly	1215	na
ChrU_4350799	unplaced-scaffold	na	na	GJ059161.1	=	NW_003099906.1	Primary Assembly	1269	na
ChrU_4352168	unplaced-scaffold	na	na	GJ059162.1	=	NW_003099907.1	Primary Assembly	1235	na
ChrU_4353503	unplaced-scaffold	na	na	GJ059163.1	=	NW_003099908.1	Primary Assembly	1561	na
ChrU_4355164	unplaced-scaffold	na	na	GJ059164.1	=	NW_003099909.1	Primary Assembly	1779	na
ChrU_4357043	unplaced-scaffold	na	na	GJ059165.1	=	NW_003099910.1	Primary Assembly	1961	na
ChrU_4359104	unplaced-scaffold	na	na	GJ059166.1	=	NW_003099911.1	Primary Assembly	1740	na
ChrU_4360944	unplaced-scaffold	na	na	GJ059167.1	=	NW_003099912.1	Primary Assembly	1142	na
ChrU_4362186	unplaced-scaffold	na	na	GJ059168.1	=	NW_003099913.1	Primary Assembly	1403	na
ChrU_4363689	unplaced-scaffold	na	na	GJ059169.1	=	NW_003099914.1	Primary Assembly	1006	na
ChrU_4364795	unplaced-scaffold	na	na	GJ059170.1	=	NW_003099915.1	Primary Assembly	1422	na
ChrU_4366317	unplaced-scaffold	na	na	GJ059171.1	=	NW_003099916.1	Primary Assembly	1571	na
ChrU_4367988	unplaced-scaffold	na	na	GJ059172.1	=	NW_003099917.1	Primary Assembly	1509	na
ChrU_4369597	unplaced-scaffold	na	na	GJ059173.1	=	NW_003099918.1	Primary Assembly	1506	na
ChrU_4371203	unplaced-scaffold	na	na	GJ059174.1	=	NW_003099919.1	Primary Assembly	1531	na
ChrU_4372834	unplaced-scaffold	na	na	GJ059175.1	=	NW_003099920.1	Primary Assembly	1616	na
ChrU_4374550	unplaced-scaffold	na	na	GJ059176.1	=	NW_003099921.1	Primary Assembly	1313	na
ChrU_4375963	unplaced-scaffold	na	na	GJ059177.1	=	NW_003099922.1	Primary Assembly	1250	na
ChrU_4377313	unplaced-scaffold	na	na	GJ059178.1	=	NW_003099923.1	Primary Assembly	1169	na
ChrU_4378582	unplaced-scaffold	na	na	GJ059179.1	=	NW_003099924.1	Primary Assembly	1208	na
ChrU_4379890	unplaced-scaffold	na	na	GJ059180.1	=	NW_003099925.1	Primary Assembly	1183	na
ChrU_4381173	unplaced-scaffold	na	na	GJ059181.1	=	NW_003099926.1	Primary Assembly	1870	na
ChrU_4383143	unplaced-scaffold	na	na	GJ059182.1	=	NW_003099927.1	Primary Assembly	1025	na
ChrU_4384268	unplaced-scaffold	na	na	GJ059183.1	=	NW_003099928.1	Primary Assembly	1191	na
ChrU_4385559	unplaced-scaffold	na	na	GJ059184.1	=	NW_003099929.1	Primary Assembly	1699	na
ChrU_4387358	unplaced-scaffold	na	na	GJ059185.1	=	NW_003099930.1	Primary Assembly	1282	na
ChrU_4388740	unplaced-scaffold	na	na	GJ059186.1	=	NW_003099931.1	Primary Assembly	1824	na
ChrU_4390664	unplaced-scaffold	na	na	GJ059187.1	=	NW_003099932.1	Primary Assembly	1361	na
ChrU_4392125	unplaced-scaffold	na	na	GJ059188.1	=	NW_003099933.1	Primary Assembly	1055	na
ChrU_4393280	unplaced-scaffold	na	na	GJ059189.1	=	NW_003099934.1	Primary Assembly	1395	na
ChrU_4394775	unplaced-scaffold	na	na	GJ059190.1	=	NW_003099935.1	Primary Assembly	1681	na
ChrU_4396556	unplaced-scaffold	na	na	GJ059191.1	=	NW_003099936.1	Primary Assembly	1869	na
ChrU_4398525	unplaced-scaffold	na	na	GJ059192.1	=	NW_003099937.1	Primary Assembly	1141	na
ChrU_4399766	unplaced-scaffold	na	na	GJ059193.1	=	NW_003099938.1	Primary Assembly	1007	na
ChrU_4400873	unplaced-scaffold	na	na	GJ059194.1	=	NW_003099939.1	Primary Assembly	1118	na
ChrU_4402091	unplaced-scaffold	na	na	GJ059195.1	=	NW_003099940.1	Primary Assembly	2154	na
ChrU_4404345	unplaced-scaffold	na	na	GJ059196.1	=	NW_003099941.1	Primary Assembly	1545	na
ChrU_4405990	unplaced-scaffold	na	na	GJ059197.1	=	NW_003099942.1	Primary Assembly	1091	na
ChrU_4407181	unplaced-scaffold	na	na	GJ059198.1	=	NW_003099943.1	Primary Assembly	1193	na
ChrU_4408474	unplaced-scaffold	na	na	GJ059199.1	=	NW_003099944.1	Primary Assembly	1271	na
ChrU_4409845	unplaced-scaffold	na	na	GJ059200.1	=	NW_003099945.1	Primary Assembly	1184	na
ChrU_4411129	unplaced-scaffold	na	na	GJ059201.1	=	NW_003099946.1	Primary Assembly	1113	na
ChrU_4412342	unplaced-scaffold	na	na	GJ059202.1	=	NW_003099947.1	Primary Assembly	1359	na
ChrU_4413801	unplaced-scaffold	na	na	GJ059203.1	=	NW_003099948.1	Primary Assembly	1012	na
ChrU_4414913	unplaced-scaffold	na	na	GJ059204.1	=	NW_003099949.1	Primary Assembly	1327	na
ChrU_4416340	unplaced-scaffold	na	na	GJ059205.1	=	NW_003099950.1	Primary Assembly	1268	na
ChrU_4417708	unplaced-scaffold	na	na	GJ059206.1	=	NW_003099951.1	Primary Assembly	1100	na
ChrU_4418908	unplaced-scaffold	na	na	GJ059207.1	=	NW_003099952.1	Primary Assembly	1178	na
ChrU_4420186	unplaced-scaffold	na	na	GJ059208.1	=	NW_003099953.1	Primary Assembly	1779	na
ChrU_4422065	unplaced-scaffold	na	na	GJ059209.1	=	NW_003099954.1	Primary Assembly	1255	na
ChrU_4423420	unplaced-scaffold	na	na	GJ059210.1	=	NW_003099955.1	Primary Assembly	1870	na
ChrU_4425390	unplaced-scaffold	na	na	GJ059211.1	=	NW_003099956.1	Primary Assembly	1061	na
ChrU_4426551	unplaced-scaffold	na	na	GJ059212.1	=	NW_003099957.1	Primary Assembly	1111	na
ChrU_4427762	unplaced-scaffold	na	na	GJ059213.1	=	NW_003099958.1	Primary Assembly	1178	na
ChrU_4429040	unplaced-scaffold	na	na	GJ059214.1	=	NW_003099959.1	Primary Assembly	1698	na
ChrU_4430838	unplaced-scaffold	na	na	GJ059215.1	=	NW_003099960.1	Primary Assembly	1281	na
ChrU_4432219	unplaced-scaffold	na	na	GJ059216.1	=	NW_003099961.1	Primary Assembly	1162	na
ChrU_4433481	unplaced-scaffold	na	na	GJ059217.1	=	NW_003099962.1	Primary Assembly	1170	na
ChrU_4434751	unplaced-scaffold	na	na	GJ059218.1	=	NW_003099963.1	Primary Assembly	1544	na
ChrU_4436395	unplaced-scaffold	na	na	GJ059219.1	=	NW_003099964.1	Primary Assembly	1504	na
ChrU_4437999	unplaced-scaffold	na	na	GJ059220.1	=	NW_003099965.1	Primary Assembly	1358	na
ChrU_4439457	unplaced-scaffold	na	na	GJ059221.1	=	NW_003099966.1	Primary Assembly	1764	na
ChrU_4441321	unplaced-scaffold	na	na	GJ059222.1	=	NW_003099967.1	Primary Assembly	1375	na
ChrU_4442796	unplaced-scaffold	na	na	GJ059223.1	=	NW_003099968.1	Primary Assembly	1258	na
ChrU_4444154	unplaced-scaffold	na	na	GJ059224.1	=	NW_003099969.1	Primary Assembly	1157	na
ChrU_4445411	unplaced-scaffold	na	na	GJ059225.1	=	NW_003099970.1	Primary Assembly	1332	na
ChrU_4446843	unplaced-scaffold	na	na	GJ059226.1	=	NW_003099971.1	Primary Assembly	1479	na
ChrU_4448422	unplaced-scaffold	na	na	GJ059227.1	=	NW_003099972.1	Primary Assembly	1011	na
ChrU_4449533	unplaced-scaffold	na	na	GJ059228.1	=	NW_003099973.1	Primary Assembly	1263	na
ChrU_4450896	unplaced-scaffold	na	na	GJ059229.1	=	NW_003099974.1	Primary Assembly	1860	na
ChrU_4452856	unplaced-scaffold	na	na	GJ059230.1	=	NW_003099975.1	Primary Assembly	1788	na
ChrU_4455993	unplaced-scaffold	na	na	GJ059232.1	=	NW_003099977.1	Primary Assembly	1766	na
ChrU_4457859	unplaced-scaffold	na	na	GJ059233.1	=	NW_003099978.1	Primary Assembly	1343	na
ChrU_4459302	unplaced-scaffold	na	na	GJ059234.1	=	NW_003099979.1	Primary Assembly	1509	na
