AC_000158.1.tRNA882-ValCAC	chr1.tRNA882-ValCAC
AC_000162.1.tRNA5845-MetCAT	chr5.tRNA5845-MetCAT
AC_000162.1.tRNA5940-TrpCCA	chr5.tRNA5940-TrpCCA
AC_000163.1.tRNA567-SerGGA	chr6.tRNA567-SerGGA
AC_000163.1.tRNA10342-SupCTA	chr6.tRNA10342-SupCTA
AC_000163.1.tRNA10296-CysGCA	chr6.tRNA10296-CysGCA
AC_000163.1.tRNA10094-TrpCCA	chr6.tRNA10094-TrpCCA
AC_000163.1.tRNA9859-LysCTT	chr6.tRNA9859-LysCTT
AC_000163.1.tRNA9513-AlaCGC	chr6.tRNA9513-AlaCGC
AC_000163.1.tRNA1698-AlaTGC	chr6.tRNA1698-AlaTGC
AC_000163.1.tRNA8601-GlyGCC	chr6.tRNA8601-GlyGCC
AC_000163.1.tRNA2600-SupTCA	chr6.tRNA2600-SupTCA
AC_000163.1.tRNA7944-LysTTT	chr6.tRNA7944-LysTTT
AC_000163.1.tRNA2990-GlyTCC	chr6.tRNA2990-GlyTCC
AC_000163.1.tRNA3752-GlyCCC	chr6.tRNA3752-GlyCCC
AC_000163.1.tRNA3767-AlaTGC	chr6.tRNA3767-AlaTGC
AC_000163.1.tRNA4441-GlyTCC	chr6.tRNA4441-GlyTCC
AC_000163.1.tRNA6009-AlaTGC	chr6.tRNA6009-AlaTGC
AC_000163.1.tRNA5728-GlyCCC	chr6.tRNA5728-GlyCCC
AC_000164.1.tRNA136-GlnCTG	chr7.tRNA136-GlnCTG
AC_000164.1.tRNA10524-ArgCCT	chr7.tRNA10524-ArgCCT
AC_000164.1.tRNA10465-iMetCAT	chr7.tRNA10465-iMetCAT
AC_000164.1.tRNA9975-AspGTC	chr7.tRNA9975-AspGTC
AC_000164.1.tRNA1089-GlnTTG	chr7.tRNA1089-GlnTTG
AC_000164.1.tRNA9632-ValCAC	chr7.tRNA9632-ValCAC
AC_000164.1.tRNA1336-LysTTT	chr7.tRNA1336-LysTTT
AC_000164.1.tRNA9495-GlyTCC	chr7.tRNA9495-GlyTCC
AC_000164.1.tRNA9465-ArgCCG	chr7.tRNA9465-ArgCCG
AC_000164.1.tRNA1683-GlnTTG	chr7.tRNA1683-GlnTTG
AC_000164.1.tRNA8590-ArgCCT	chr7.tRNA8590-ArgCCT
AC_000164.1.tRNA8529-LysCTT	chr7.tRNA8529-LysCTT
AC_000164.1.tRNA2411-LeuAAG	chr7.tRNA2411-LeuAAG
AC_000164.1.tRNA8503-ThrTGT	chr7.tRNA8503-ThrTGT
AC_000164.1.tRNA2413-AlaTGC	chr7.tRNA2413-AlaTGC
AC_000164.1.tRNA2414-LysCTT	chr7.tRNA2414-LysCTT
AC_000164.1.tRNA8502-ValAAC	chr7.tRNA8502-ValAAC
AC_000164.1.tRNA8501-LysCTT	chr7.tRNA8501-LysCTT
AC_000164.1.tRNA8500-ValCAC	chr7.tRNA8500-ValCAC
AC_000164.1.tRNA2488-LeuCAA	chr7.tRNA2488-LeuCAA
AC_000164.1.tRNA2489-GluCTC	chr7.tRNA2489-GluCTC
AC_000164.1.tRNA2514-GluTTC	chr7.tRNA2514-GluTTC
AC_000164.1.tRNA8342-PheGAA	chr7.tRNA8342-PheGAA
AC_000164.1.tRNA2534-AsnGTT	chr7.tRNA2534-AsnGTT
AC_000164.1.tRNA2685-AlaAGC	chr7.tRNA2685-AlaAGC
AC_000164.1.tRNA3195-AlaAGC	chr7.tRNA3195-AlaAGC
AC_000164.1.tRNA6980-GluTTC	chr7.tRNA6980-GluTTC
AC_000164.1.tRNA4465-CysGCA	chr7.tRNA4465-CysGCA
AC_000164.1.tRNA5808-GluTTC	chr7.tRNA5808-GluTTC
AC_000165.1.tRNA210-GlyCCC	chr8.tRNA210-GlyCCC
AC_000165.1.tRNA1361-HisGTG	chr8.tRNA1361-HisGTG
AC_000165.1.tRNA7743-SupCTA	chr8.tRNA7743-SupCTA
AC_000165.1.tRNA4415-ArgCCG	chr8.tRNA4415-ArgCCG
AC_000165.1.tRNA5628-CysGCA	chr8.tRNA5628-CysGCA
AC_000166.1.tRNA582-AlaTGC	chr9.tRNA582-AlaTGC
AC_000166.1.tRNA1012-GluTTC	chr9.tRNA1012-GluTTC
AC_000166.1.tRNA1456-SerGGA	chr9.tRNA1456-SerGGA
AC_000166.1.tRNA8142-ValTAC	chr9.tRNA8142-ValTAC
AC_000166.1.tRNA8051-GluTTC	chr9.tRNA8051-GluTTC
AC_000166.1.tRNA1791-LeuCAA	chr9.tRNA1791-LeuCAA
AC_000166.1.tRNA7869-MetCAT	chr9.tRNA7869-MetCAT
AC_000166.1.tRNA7239-AspGTC	chr9.tRNA7239-AspGTC
AC_000166.1.tRNA2621-GluTTC	chr9.tRNA2621-GluTTC
AC_000166.1.tRNA7092-ArgCCT	chr9.tRNA7092-ArgCCT
AC_000166.1.tRNA3624-LeuTAA	chr9.tRNA3624-LeuTAA
AC_000166.1.tRNA3670-SupTTA	chr9.tRNA3670-SupTTA
AC_000187.1.tRNA545-GlnTTG	chrX.tRNA545-GlnTTG
AC_000187.1.tRNA776-SerGGA	chrX.tRNA776-SerGGA
AC_000187.1.tRNA13685-SerGGA	chrX.tRNA13685-SerGGA
AC_000187.1.tRNA12927-AlaTGC	chrX.tRNA12927-AlaTGC
AC_000187.1.tRNA11976-GlyCCC	chrX.tRNA11976-GlyCCC
AC_000187.1.tRNA2617-UndetNNN	chrX.tRNA2617-UndetNNN
AC_000187.1.tRNA11780-TrpCCA	chrX.tRNA11780-TrpCCA
AC_000187.1.tRNA11541-TrpCCA	chrX.tRNA11541-TrpCCA
AC_000187.1.tRNA11540-TrpCCA	chrX.tRNA11540-TrpCCA
AC_000187.1.tRNA11539-TrpCCA	chrX.tRNA11539-TrpCCA
AC_000187.1.tRNA11536-TrpCCA	chrX.tRNA11536-TrpCCA
AC_000187.1.tRNA11282-TrpCCA	chrX.tRNA11282-TrpCCA
AC_000187.1.tRNA10379-SerGGA	chrX.tRNA10379-SerGGA
AC_000187.1.tRNA9844-LysTTT	chrX.tRNA9844-LysTTT
AC_000187.1.tRNA4656-GlyTCC	chrX.tRNA4656-GlyTCC
AC_000187.1.tRNA8666-GlyCCC	chrX.tRNA8666-GlyCCC
AC_000187.1.tRNA6019-ValTAC	chrX.tRNA6019-ValTAC
AC_000187.1.tRNA6023-PheGAA	chrX.tRNA6023-PheGAA
AC_000187.1.tRNA6025-PheGAA	chrX.tRNA6025-PheGAA
AC_000187.1.tRNA6026-PheGAA	chrX.tRNA6026-PheGAA
AC_000187.1.tRNA6027-PheGAA	chrX.tRNA6027-PheGAA
AC_000187.1.tRNA6028-PheGAA	chrX.tRNA6028-PheGAA
AC_000187.1.tRNA6032-ValGAC	chrX.tRNA6032-ValGAC
AC_000187.1.tRNA6680-AspGTC	chrX.tRNA6680-AspGTC
AC_000187.1.tRNA7155-ValCAC	chrX.tRNA7155-ValCAC
